id,cluster_id
rec-106-org,106
rec-107-dup-0,107
rec-107-org,107
rec-108-dup-0,108
rec-108-org,108
rec-109-dup-0,109
rec-109-org,109
rec-110-dup-0,110
rec-110-org,110
rec-111-dup-0,111
rec-111-org,111
rec-112-dup-0,112
rec-112-org,112
rec-113-dup-0,113
rec-113-org,113
rec-114-dup-0,114
rec-114-org,114
rec-115-dup-0,115
rec-115-org,115
rec-116-dup-0,116
rec-116-org,116
rec-117-dup-0,117
rec-117-org,117
rec-118-dup-0,118
rec-118-org,118
rec-119-dup-0,119
rec-119-org,119
rec-120-dup-0,120
rec-120-org,120
rec-121-dup-0,121
rec-121-org,121
rec-122-dup-0,122
rec-122-org,122
rec-123-dup-0,123
rec-123-org,123
rec-124-dup-0,124
rec-124-org,124
rec-125-dup-0,125
rec-125-org,125
rec-126-dup-0,126
rec-126-org,126
rec-127-dup-0,127
rec-127-org,127
rec-128-dup-0,128
rec-128-org,128
rec-129-dup-0,129
rec-129-org,129
rec-130-dup-0,130
rec-130-org,130
rec-131-dup-0,131
rec-131-org,131
rec-132-dup-0,132
rec-132-org,132
rec-133-dup-0,133
rec-133-org,133
rec-134-dup-0,134
rec-134-org,134
rec-135-dup-0,135
rec-135-org,135
rec-136-dup-0,136
rec-136-org,136
rec-137-dup-0,137
rec-137-org,137
rec-138-dup-0,138
rec-138-org,138
rec-139-dup-0,139
rec-139-org,139
rec-140-dup-0,140
rec-140-org,140
rec-141-dup-0,141
rec-141-org,141
rec-142-dup-0,142
rec-142-org,142
rec-143-dup-0,143
rec-143-org,143
rec-144-dup-0,144
rec-144-org,144
rec-145-dup-0,145
rec-145-org,145
rec-146-dup-0,146
rec-146-org,146
rec-147-dup-0,147
rec-147-org,147
rec-148-dup-0,148
rec-148-org,148
rec-149-dup-0,149
rec-149-org,149
rec-150-dup-0,150
rec-150-org,150
rec-151-dup-0,151
rec-151-org,151
rec-152-dup-0,152
rec-152-org,152
rec-153-dup-0,153
rec-153-org,153
rec-154-dup-0,154
rec-154-org,154
rec-155-dup-0,155
rec-155-org,155
rec-156-dup-0,156
rec-156-org,156
rec-157-dup-0,157
rec-157-org,157
rec-158-dup-0,158
rec-158-org,158
rec-159-dup-0,159
rec-159-org,159
rec-160-dup-0,160
rec-160-org,160
rec-161-dup-0,161
rec-161-org,161
rec-162-dup-0,162
rec-162-org,162
rec-163-dup-0,163
rec-163-org,163
rec-164-dup-0,164
rec-164-org,164
rec-165-dup-0,165
rec-165-org,165
rec-166-dup-0,166
rec-166-org,166
rec-167-dup-0,167
rec-167-org,167
rec-168-dup-0,168
rec-168-org,168
rec-169-dup-0,169
rec-169-org,169
rec-170-dup-0,170
rec-170-org,170
rec-171-dup-0,171
rec-171-org,171
rec-172-dup-0,172
rec-172-org,172
rec-173-dup-0,173
rec-173-org,173
rec-174-dup-0,174
rec-174-org,174
rec-175-dup-0,175
rec-175-org,175
rec-176-dup-0,176
rec-176-org,176
rec-177-dup-0,177
rec-177-org,177
rec-178-dup-0,178
rec-178-org,178
rec-179-dup-0,179
rec-179-org,179
rec-180-dup-0,180
rec-180-org,180
rec-181-dup-0,181
rec-181-org,181
rec-182-dup-0,182
rec-182-org,182
rec-183-dup-0,183
rec-183-org,183
rec-184-dup-0,184
rec-184-org,184
rec-185-dup-0,185
rec-185-org,185
rec-186-dup-0,186
rec-186-org,186
rec-187-dup-0,187
rec-187-org,187
rec-188-dup-0,188
rec-188-org,188
rec-189-dup-0,189
rec-189-org,189
rec-190-dup-0,190
rec-190-org,190
rec-191-dup-0,191
rec-191-org,191
rec-192-dup-0,192
rec-192-org,192
rec-193-dup-0,193
rec-193-org,193
rec-194-dup-0,194
rec-194-org,194
rec-195-dup-0,195
rec-195-org,195
rec-196-dup-0,196
rec-196-org,196
rec-197-dup-0,197
rec-197-org,197
rec-198-dup-0,198
rec-198-org,198
rec-199-dup-0,199
rec-199-org,199
rec-200-dup-0,200
rec-200-org,200
rec-201-dup-0,201
rec-201-org,201
rec-202-dup-0,202
rec-202-org,202
rec-203-dup-0,203
rec-203-org,203
rec-204-dup-0,204
rec-204-org,204
rec-205-dup-0,205
rec-205-org,205
rec-206-dup-0,206
rec-206-org,206
rec-207-dup-0,207
rec-207-org,207
rec-208-dup-0,208
rec-208-org,208
rec-209-dup-0,209
rec-209-org,209
rec-210-dup-0,210
rec-210-org,210
rec-211-dup-0,211
rec-211-org,211
rec-212-dup-0,212
rec-212-org,212
rec-213-dup-0,213
rec-213-org,213
rec-214-dup-0,214
rec-214-org,214
rec-215-dup-0,215
rec-215-org,215
rec-216-dup-0,216
rec-216-org,216
rec-217-dup-0,217
rec-217-org,217
rec-218-dup-0,218
rec-218-org,218
rec-219-dup-0,219
rec-219-org,219
rec-220-dup-0,220
rec-220-org,220
rec-221-dup-0,221
rec-221-org,221
rec-222-dup-0,222
rec-222-org,222
rec-223-dup-0,223
rec-223-org,223
rec-224-dup-0,224
rec-224-org,224
rec-225-dup-0,225
rec-225-org,225
rec-226-dup-0,226
rec-226-org,226
rec-227-dup-0,227
rec-227-org,227
rec-228-dup-0,228
rec-228-org,228
rec-229-dup-0,229
rec-229-org,229
rec-230-dup-0,230
rec-230-org,230
rec-231-dup-0,231
rec-231-org,231
rec-232-dup-0,232
rec-232-org,232
rec-233-dup-0,233
rec-233-org,233
rec-234-dup-0,234
rec-234-org,234
rec-235-dup-0,235
rec-235-org,235
rec-236-dup-0,236
rec-236-org,236
rec-237-dup-0,237
rec-237-org,237
rec-238-dup-0,238
rec-238-org,238
rec-239-dup-0,239
rec-239-org,239
rec-240-dup-0,240
rec-240-org,240
rec-241-dup-0,241
rec-241-org,241
rec-242-dup-0,242
rec-242-org,242
rec-243-dup-0,243
rec-243-org,243
rec-244-dup-0,244
rec-244-org,244
rec-245-dup-0,245
rec-245-org,245
rec-246-dup-0,246
rec-246-org,246
rec-247-dup-0,247
rec-247-org,247
rec-248-dup-0,248
rec-248-org,248
rec-249-dup-0,249
rec-249-org,249
rec-250-dup-0,250
rec-250-org,250
rec-251-dup-0,251
rec-251-org,251
rec-252-dup-0,252
rec-252-org,252
rec-253-dup-0,253
rec-253-org,253
rec-254-dup-0,254
rec-254-org,254
rec-255-dup-0,255
rec-255-org,255
rec-256-dup-0,256
rec-256-org,256
rec-257-dup-0,257
rec-257-org,257
rec-258-dup-0,258
rec-258-org,258
rec-259-dup-0,259
rec-259-org,259
rec-260-dup-0,260
rec-260-org,260
rec-261-dup-0,261
rec-261-org,261
rec-262-dup-0,262
rec-262-org,262
rec-263-dup-0,263
rec-263-org,263
rec-264-dup-0,264
rec-264-org,264
rec-265-dup-0,265
rec-265-org,265
rec-266-dup-0,266
rec-266-org,266
rec-267-dup-0,267
rec-267-org,267
rec-268-dup-0,268
rec-268-org,268
rec-269-dup-0,269
rec-269-org,269
rec-270-dup-0,270
rec-270-org,270
rec-271-dup-0,271
rec-271-org,271
rec-272-dup-0,272
rec-272-org,272
rec-273-dup-0,273
rec-273-org,273
rec-274-dup-0,274
rec-274-org,274
rec-275-dup-0,275
rec-275-org,275
rec-276-dup-0,276
rec-276-org,276
rec-277-dup-0,277
rec-277-org,277
rec-278-dup-0,278
rec-278-org,278
rec-279-dup-0,279
rec-279-org,279
rec-280-dup-0,280
rec-280-org,280
rec-281-dup-0,281
rec-281-org,281
rec-282-dup-0,282
rec-282-org,282
rec-283-dup-0,283
rec-283-org,283
rec-284-dup-0,284
rec-284-org,284
rec-285-dup-0,285
rec-285-org,285
rec-286-dup-0,286
rec-286-org,286
rec-287-dup-0,287
rec-287-org,287
rec-288-dup-0,288
rec-288-org,288
rec-289-dup-0,289
rec-289-org,289
rec-290-dup-0,290
rec-290-org,290
rec-291-dup-0,291
rec-291-org,291
rec-292-dup-0,292
rec-292-org,292
rec-293-dup-0,293
rec-293-org,293
rec-294-dup-0,294
rec-294-org,294
rec-295-dup-0,295
rec-295-org,295
rec-296-dup-0,296
rec-296-org,296
rec-297-dup-0,297
rec-297-org,297
rec-298-dup-0,298
rec-298-org,298
rec-299-dup-0,299
rec-299-org,299
rec-300-dup-0,300
rec-300-org,300
rec-301-dup-0,301
rec-301-org,301
rec-302-dup-0,302
rec-302-org,302
rec-303-dup-0,303
rec-303-org,303
rec-304-dup-0,304
rec-304-org,304
rec-305-dup-0,305
rec-305-org,305
rec-306-dup-0,306
rec-306-org,306
rec-307-dup-0,307
rec-307-org,307
rec-308-dup-0,308
rec-308-org,308
rec-309-dup-0,309
rec-309-org,309
rec-310-dup-0,310
rec-310-org,310
rec-311-dup-0,311
rec-311-org,311
rec-312-dup-0,312
rec-312-org,312
rec-313-dup-0,313
rec-313-org,313
rec-314-dup-0,314
rec-314-org,314
rec-315-dup-0,315
rec-315-org,315
rec-316-dup-0,316
rec-316-org,316
rec-317-dup-0,317
rec-317-org,317
rec-318-dup-0,318
rec-318-org,318
rec-319-dup-0,319
rec-319-org,319
rec-320-dup-0,320
rec-320-org,320
rec-321-dup-0,321
rec-321-org,321
rec-322-dup-0,322
rec-322-org,322
rec-323-dup-0,323
rec-323-org,323
rec-324-dup-0,324
rec-324-org,324
rec-325-dup-0,325
rec-325-org,325
rec-326-dup-0,326
rec-326-org,326
rec-327-dup-0,327
rec-327-org,327
rec-328-dup-0,328
rec-328-org,328
rec-329-dup-0,329
rec-329-org,329
rec-330-dup-0,330
rec-330-org,330
rec-331-dup-0,331
rec-331-org,331
rec-332-dup-0,332
rec-332-org,332
rec-333-dup-0,333
rec-333-org,333
rec-334-dup-0,334
rec-334-org,334
rec-335-dup-0,335
rec-335-org,335
rec-336-dup-0,336
rec-336-org,336
rec-337-dup-0,337
rec-337-org,337
rec-338-dup-0,338
rec-338-org,338
rec-339-dup-0,339
rec-339-org,339
rec-340-dup-0,340
rec-340-org,340
rec-341-dup-0,341
rec-341-org,341
rec-342-dup-0,342
rec-342-org,342
rec-343-dup-0,343
rec-343-org,343
rec-344-dup-0,344
rec-344-org,344
rec-345-dup-0,345
rec-345-org,345
rec-346-dup-0,346
rec-346-org,346
rec-347-dup-0,347
rec-347-org,347
rec-348-dup-0,348
rec-348-org,348
rec-349-dup-0,349
rec-349-org,349
rec-350-dup-0,350
rec-350-org,350
rec-351-dup-0,351
rec-351-org,351
rec-352-dup-0,352
rec-352-org,352
rec-353-dup-0,353
rec-353-org,353
rec-354-dup-0,354
rec-354-org,354
rec-355-dup-0,355
rec-355-org,355
rec-356-dup-0,356
rec-356-org,356
rec-357-dup-0,357
rec-357-org,357
rec-358-dup-0,358
rec-358-org,358
rec-359-dup-0,359
rec-359-org,359
rec-360-dup-0,360
rec-360-org,360
rec-361-dup-0,361
rec-361-org,361
rec-362-dup-0,362
rec-362-org,362
rec-363-dup-0,363
rec-363-org,363
rec-364-dup-0,364
rec-364-org,364
rec-365-dup-0,365
rec-365-org,365
rec-366-dup-0,366
rec-366-org,366
rec-367-dup-0,367
rec-367-org,367
rec-368-dup-0,368
rec-368-org,368
rec-369-dup-0,369
rec-369-org,369
rec-370-dup-0,370
rec-370-org,370
rec-371-dup-0,371
rec-371-org,371
rec-372-dup-0,372
rec-372-org,372
rec-373-dup-0,373
rec-373-org,373
rec-374-dup-0,374
rec-374-org,374
rec-375-dup-0,375
rec-375-org,375
rec-376-dup-0,376
rec-376-org,376
rec-377-dup-0,377
rec-377-org,377
rec-378-dup-0,378
rec-378-org,378
rec-379-dup-0,379
rec-379-org,379
rec-380-dup-0,380
rec-380-org,380
rec-381-dup-0,381
rec-381-org,381
rec-382-dup-0,382
rec-382-org,382
rec-383-dup-0,383
rec-383-org,383
rec-384-dup-0,384
rec-384-org,384
rec-385-dup-0,385
rec-385-org,385
rec-386-dup-0,386
rec-386-org,386
rec-387-dup-0,387
rec-387-org,387
rec-388-dup-0,388
rec-388-org,388
rec-389-dup-0,389
rec-389-org,389
rec-390-dup-0,390
rec-390-org,390
rec-391-dup-0,391
rec-391-org,391
rec-392-dup-0,392
rec-392-org,392
rec-393-dup-0,393
rec-393-org,393
rec-394-dup-0,394
rec-394-org,394
rec-395-dup-0,395
rec-395-org,395
rec-396-dup-0,396
rec-396-org,396
rec-397-dup-0,397
rec-397-org,397
rec-398-dup-0,398
rec-398-org,398
rec-399-dup-0,399
rec-399-org,399
rec-400-dup-0,400
rec-400-org,400
rec-401-dup-0,401
rec-401-org,401
rec-402-dup-0,402
rec-402-org,402
rec-403-dup-0,403
rec-403-org,403
rec-404-dup-0,404
rec-404-org,404
rec-405-dup-0,405
rec-405-org,405
rec-406-dup-0,406
rec-406-org,406
rec-407-dup-0,407
rec-407-org,407
rec-408-dup-0,408
rec-408-org,408
rec-409-dup-0,409
rec-409-org,409
rec-410-dup-0,410
rec-410-org,410
rec-411-dup-0,411
rec-411-org,411
rec-412-dup-0,412
rec-412-org,412
rec-413-dup-0,413
rec-413-org,413
rec-414-dup-0,414
rec-414-org,414
rec-415-dup-0,415
rec-415-org,415
rec-416-dup-0,416
rec-416-org,416
rec-417-dup-0,417
rec-417-org,417
rec-418-dup-0,418
rec-418-org,418
rec-419-dup-0,419
rec-419-org,419
rec-420-dup-0,420
rec-420-org,420
rec-421-dup-0,421
rec-421-org,421
rec-422-dup-0,422
rec-422-org,422
rec-423-dup-0,423
rec-423-org,423
rec-424-dup-0,424
rec-424-org,424
rec-425-dup-0,425
rec-425-org,425
rec-426-dup-0,426
rec-426-org,426
rec-427-dup-0,427
rec-427-org,427
rec-428-dup-0,428
rec-428-org,428
rec-429-dup-0,429
rec-429-org,429
rec-430-dup-0,430
rec-430-org,430
rec-431-dup-0,431
rec-431-org,431
rec-432-dup-0,432
rec-432-org,432
rec-433-dup-0,433
rec-433-org,433
rec-434-dup-0,434
rec-434-org,434
rec-435-dup-0,435
rec-435-org,435
rec-436-dup-0,436
rec-436-org,436
rec-437-dup-0,437
rec-437-org,437
rec-438-dup-0,438
rec-438-org,438
rec-439-dup-0,439
rec-439-org,439
rec-440-dup-0,440
rec-440-org,440
rec-441-dup-0,441
rec-441-org,441
rec-442-dup-0,442
rec-442-org,442
rec-443-dup-0,443
rec-443-org,443
rec-444-dup-0,444
rec-444-org,444
rec-445-dup-0,445
rec-445-org,445
rec-446-dup-0,446
rec-446-org,446
rec-447-dup-0,447
rec-447-org,447
rec-448-dup-0,448
rec-448-org,448
rec-449-dup-0,449
rec-449-org,449
rec-450-dup-0,450
rec-450-org,450
rec-451-dup-0,451
rec-451-org,451
rec-452-dup-0,452
rec-452-org,452
rec-453-dup-0,453
rec-453-org,453
rec-454-dup-0,454
rec-454-org,454
rec-455-dup-0,455
rec-455-org,455
rec-456-dup-0,456
rec-456-org,456
rec-457-dup-0,457
rec-457-org,457
rec-458-dup-0,458
rec-458-org,458
rec-459-dup-0,459
rec-459-org,459
rec-460-dup-0,460
rec-460-org,460
rec-461-dup-0,461
rec-461-org,461
rec-462-dup-0,462
rec-462-org,462
rec-463-dup-0,463
rec-463-org,463
rec-464-dup-0,464
rec-464-org,464
rec-465-dup-0,465
rec-465-org,465
rec-466-dup-0,466
rec-466-org,466
rec-467-dup-0,467
rec-467-org,467
rec-468-dup-0,468
rec-468-org,468
rec-469-dup-0,469
rec-469-org,469
rec-470-dup-0,470
rec-470-org,470
rec-471-dup-0,471
rec-471-org,471
rec-472-dup-0,472
rec-472-org,472
rec-473-dup-0,473
rec-473-org,473
rec-474-dup-0,474
rec-474-org,474
rec-475-dup-0,475
rec-475-org,475
rec-476-dup-0,476
rec-476-org,476
rec-477-dup-0,477
rec-477-org,477
rec-478-dup-0,478
rec-478-org,478
rec-479-dup-0,479
rec-479-org,479
rec-480-dup-0,480
rec-480-org,480
rec-481-dup-0,481
rec-481-org,481
rec-482-dup-0,482
rec-482-org,482
rec-483-dup-0,483
rec-483-org,483
rec-484-dup-0,484
rec-484-org,484
rec-485-dup-0,485
rec-485-org,485
rec-486-dup-0,486
rec-486-org,486
rec-487-dup-0,487
rec-487-org,487
rec-488-dup-0,488
rec-488-org,488
rec-489-dup-0,489
rec-489-org,489
rec-490-dup-0,490
rec-490-org,490
rec-491-dup-0,491
rec-491-org,491
rec-492-dup-0,492
rec-492-org,492
rec-493-dup-0,493
rec-493-org,493
rec-494-dup-0,494
rec-494-org,494
rec-495-dup-0,495
rec-495-org,495
rec-496-dup-0,496
rec-496-org,496
rec-497-dup-0,497
rec-497-org,497
rec-498-dup-0,498
rec-498-org,498
rec-499-dup-0,499
rec-499-org,499
